name,longitude,latitude
SAM GOURMET DELI & GROCERY CORP,-73.952693694,40.823811144
LOLYS PHARMACY INC,-73.904936376,40.858829017
DARIOS DELIGHTS CORP,-73.906516784,40.862536962
BOWMAN NICKY,-75.856565552,42.847961678
AEGIS VENTURE PARTNERS INC,-77.579192835,43.148248639
CVS ALBANY LLC,-73.709442734,40.689585107
CVS ALBANY LLC,-73.820720629,40.825602482
SALS PLACE DELI & GROCERY 1 CORP,-73.863665477,40.849412703
SAMMY GROCERY & DELI CORP,-73.893834797,40.850768392
HEAVEN FARM CORP,-73.925436332,40.663138191
DOLGEN NEW YORK LLC,-78.799434238,42.774952954
UNITED REFINING CO OF PA INC,-76.570232891,42.935176512
RITE AID OF NEW YORK INC,-73.969377118,41.504999656
DELI GROCERY SHEF PEPIN INC,-73.754586826,40.602152134
CONSUMERS BEVERAGES INC,-78.683287212,42.892461621
OUR COMMUNITY GROCERY CORP,-73.939083914,40.808170177
TINEO FAUSTO A,-73.924783885,40.704816701
HAR SIDDHI CORPORATION,-73.869382857,40.748850485
A PLUS CONVENIENCE STORES INC,-77.546767694,42.905305085
FROG POND FARMS LLC,-75.481514025,42.27429777
SULIMAN TOM MOHAMED,-73.988746355,40.688298233
REID STORES INC,-78.554449314,43.332902386
99 CENTS FACTORY INC,-73.922420775,40.817148034
INNIS AVENUE KWIK MART INC,-73.902500595,41.714169002
JOHNSON GARY R,-75.615920944,43.974103059
CORNER STORE 1 CORP THE,-78.800721783,42.872118951
BOBS COUNTRY STORE LLC,-74.776383152,42.741491139
SAN MIGUEL PLCKS DELI LLC,-74.133169397,40.631952021
VANA MARIA DELI INC,-74.024180097,40.626148056
FORT MONTGOMERY SERVICE CENTR INC,-73.987331839,41.33096603
PBRS WEBSTER INC,-77.431949953,43.211698473
SENCION VILLEGAS MORALES,-73.869142632,40.871638619
GUMENI GROCERY STORE LLC,-77.629153755,43.146503904
MANGO RICO MARKET INC,-73.890089595,40.749031701
CVS ALBANY LLC,-73.932884826,42.715430042
SEANS QUALITY DELI LLC,-73.867375056,40.897686263
PENNSYLVANIA DELI GROCERY CORP,-73.893875533,40.66491901
FRANCIS W MURPHY INC,-76.421188152,42.713785387
OCOA DELI GROCERY INC,-73.86328804,40.830404768
KELKENBERG FARM OF CLARENCE LLC,-78.643151977,43.05836287
HVBK LLC,-73.882618218,41.210506894
99 JOHNS MARKET PLACE INC,-74.006216924,40.708133336
SIX FLAGS DARIEN LLC,-78.39075257,42.928782254
CUMBERLAND FARMS INC,-73.635402868,43.300450087
CVS ALBANY LLC,-73.778443399,41.126065297
NEW DREAMLAND DELI CORP,-73.907537616,40.709758001
ELIS GROCERY CORP,-73.865337332,40.753130326
PACO MEAT & FRUIT MARKET CORP,-73.889597158,40.844533639
G & M FRIENDS DELI GROCERY LLC,-73.87498046,40.829234193
VITAMIN SHOPPE INDUSTRIES INC,-74.010104367,41.096083522
HALSEY & LEWIS LLC,-73.938880653,40.68596161
NFM BROADWAY LLC,-73.979103311,40.78461288
MON HTARNI,-78.897711131,42.956542653
MUSA GOURMET DELI CORP,-73.922667454,40.836122064
STOP SMOKE IN SHOP CONVENIENCE CO,-78.867176445,42.940271074
KA WING HONG CORP,-73.983243217,40.612361124
NEW YORK FOOD MARKET INC,-73.870632515,40.748914942
BURGANDY & WHITE MKTS INC,-73.958059118,40.781642585
RED BRICK SERVICES INC,-74.421214841,41.44652926
TUG HILL ARTISAN ROASTERS LLC,-75.490224834,43.784761356
OCEAN LAKE FOODS INC,-72.650713672,40.936702824
IMPERIAL MEAT MARKET CORP,-73.950226733,40.594277839
MOM & SON INC,-73.844390537,40.721092597
ARCANGEL DELI GROCERY CORP,-73.984936445,40.638691197
AL MALIK EXOTICS LLC,-73.455795196,40.680145533
EV ENTERPRISES LTD,-73.895301462,40.746319653
FOUR NIECES LLC,-73.926241581,40.616921131
SS GROCERY STORE INC,-75.918810068,44.327181594
JEROME AVE DOLLAR DISCOUNT & GROCERY COR,-73.904289628,40.857364824
7 STARS SEAFOOD MARKET INC,-73.963650602,40.649102149
MIRABITO HOLDINGS INC,-76.095475152,42.089756265
JULIE & C INC,-73.987014403,40.747696506
"KPH HEALTHCARE SERVICES, INC.",-76.188553207,43.101229851
L & H 177 CORP,-73.987125044,40.703193671
A&P BEVERAGE CORP,-74.413679426,41.467120369
S&N DISCOUNT INC,-73.941967624,40.794973332
GNN DELI CORP,-73.95575334,40.577844531
AAA GPO INC,-73.703939092,40.659147105
BIG LOU DELI & GROCERY CORP,-73.753686777,40.700404048
NEW JUABEN AFRICAN MKT LLC,-73.856568185,40.894488902
WALGREEN EASTERN CO INC,-78.868990456,42.958918001
A PLUS CONVENIENCE STORES INC,-78.530361987,42.939314154
CUMBERLAND FARMS INC,-73.675510862,43.297681628
SPEEDWAY LLC,-72.425176498,40.89268453
DOLGEN NEW YORK LLC,-78.412544699,42.525450141
CHOCOLATE DUCK LTD,-73.445976215,40.732075279
PLAZA PIAXTLA BAKERY INC,-73.908546965,40.703447014
ALL AMERICAN MARKET OF CNY INC,-76.152083295,43.065470053
CEDAR RUN BAKERY LLC,-73.794498599,44.25702037
MIKE DELI & GRILL CORP,-73.943263383,40.708691194
JOHNS FAMILY FISH MARKET CORP,-73.977201625,40.596418619
STW GRILL & DELI INC,-73.98039974,40.613425123
CH BUTCHER INC,-73.939645502,40.668495358
CVS ALBANY LLC,-76.179432103,42.597273245
DOLCO FOOD CORP,-73.840544165,40.685692551
NATURAL FOODS TRADING NY INC,-73.491294316,40.726289964
F&R GOLDFISH CORP,-73.950238048,40.594335255
WNY PALMYRA INC,-77.225348278,43.063791996
CUMBERLAND FARMS INC,-73.939703421,42.764907997
SPEEDWAY LLC,-73.184875005,40.836428981
LISA DELI AND GROCERY INC,-73.898258346,40.69922681
A&S BAGELS INC,-73.668083993,40.706633521
SPEEDWAY LLC,-74.160139176,40.626872084
OM SAI MART INC,-74.735756905,41.773924093
MODEL ORGANIC FARM FOUNDATION THE,-73.534752975,41.897755271
LA POTENCIA DELI GROCERY STORE CORP,-73.913080149,40.831042966
ALDI INC,-73.4811269,44.698680912
MORENITA DELI & GROCERY CORP,-73.881879269,40.830828264
THREE AUNTIES INC,-73.903401482,40.744668921
FISH PLACE OF COPIAGUE CORP THE,-73.398372621,40.693000523
BUSY BEE STORES CORP,-73.228779814,40.731050801
BROIKOU MICHAEL,-77.429891777,43.214654645
ROYAL AFRICAN & CARIBBEAN FOOD INC,-73.883315508,40.867651306
1781 LEX GROCERY CORP,-73.944099561,40.795003465
AS FULTON FOOD CORP,-73.949247559,40.680502644
ECKERD CORP,-76.273472279,43.039884462
STOP&SHOP SUPERMARKET CO LLC THE,-73.534379142,40.857514358
CANZONA MARKET LTD,-73.919720209,41.035067207
DOLGEN NEW YORK LLC,-73.911382562,41.745516817
120 FRESH MARKET INC,-73.82308114,40.686810026
TOPS MARKETS LLC,-73.899438015,41.947292235
124 MEAT FOOD CORP,-73.906529105,40.862653973
TIENDITA HISPANA CORP,-73.258311019,40.886471528
MIN ASIAN MARKET LLC,-78.890420384,42.917092095
VERONA OIL CO INC,-75.0223881,41.970066841
756 JOMO FOOD CORP,-73.943140252,40.825953768
HOT TIMES GROCERY CORP,-73.904300357,40.858397978
BEYOND NATURAL MARKET INC,-73.94128869,40.707645971
ALAM & BROTHERS INC,-73.922222962,40.743870042
CARNICERIA EL TORITO CORP,-73.89431684,40.850991309
I HOME WOOD CORP,-74.107406612,41.518797694
FAMILY DOLLAR STORES OF NEW YORK LLC,-77.579579408,43.169243547
FERNANDEZ & FERNANDEZ DELI GROCERY CORP,-74.160272616,40.631707898
ASIA SUPPLY CO INC,-73.91421355,40.717078923
DOLGEN NEW YORK LLC,-75.752750484,43.070655224
NAMDOR INC,-74.002342892,40.732920845
