tract,GEOID,longitude,latitude,geometry,nearest_store_index,nearest_store_name,distance_to_nearest_store
022100,36047022100,-73.95435594150031,40.67616699996081,POINT (-73.95435594150031 40.6761669999608),1018,PROSPECT HEIGHTS FOOD CORP,131.7700643303905
024000,36047024000,-73.99318616501996,40.62883157995004,POINT (-73.99318616501996 40.62883157995003),10499,STAR FOOD CENTER INC,150.37318687645438
024200,36047024200,-73.9928098368354,40.62586775405335,POINT (-73.9928098368354 40.625867754053345),11590,NOBEL DELI & MARKET INC,116.13626640728585
024400,36047024400,-73.98623637741353,40.62174746326039,POINT (-73.98623637741353 40.621747463260384),23999,AK GROCERY 59 INC,86.0648616975492
024500,36047024500,-73.95190117405953,40.68288095875399,POINT (-73.95190117405953 40.682880958754),10329,A&Z GROCERY CORP I,147.7866092182983
024600,36047024600,-73.98113931856795,40.61816983102841,POINT (-73.98113931856795 40.61816983102841),23246,EY SALES CORP,189.22312544212636
024800,36047024800,-73.98999307707122,40.62136294095995,POINT (-73.98999307707122 40.621362940959955),21804,C K ZHENG INC,136.13938612208074
024900,36047024900,-73.94839039114983,40.68298332524934,POINT (-73.94839039114983 40.68298332524933),10329,A&Z GROCERY CORP I,155.40091293031261
025000,36047025000,-73.99583822785442,40.623625744412145,POINT (-73.99583822785442 40.62362574441215),15148,KIM YEON S,149.78315446007548
025100,36047025100,-73.9493877910231,40.68785455421828,POINT (-73.9493877910231 40.68785455421828),7772,ALBOKAIR MOHAMED M,129.0864213654995
025200,36047025200,-73.99213914432819,40.61982890094726,POINT (-73.99213914432819 40.619828900947255),1993,AL TOUS CORP,99.43029235991688
025300,36047025300,-73.95033653056242,40.6926218228883,POINT (-73.95033653056242 40.692621822888306),1168,BAKIR INC,153.28511034116616
025600,36047025600,-73.98566616261168,40.61499500794018,POINT (-73.98566616261168 40.61499500794017),3559,MAHBUB DELI AND MARKET INC,116.45215668467124
025700,36047025700,-73.94734433103503,40.69821793090872,POINT (-73.94734433103503 40.69821793090872),538,SUPERLOST COFFEE LLC,199.53534661006577
025901,36047025901,-73.9462243140475,40.69496732725991,POINT (-73.9462243140475 40.6949673272599),23063,SPICY MINI MARKET CORP,18.58566494831419
026000,36047026000,-73.99234567612197,40.61691713059345,POINT (-73.99234567612197 40.61691713059345),16075,OK FISH MARKET INC,19.710072264272796
041400,36083041400,-73.66468744842756,42.76261405115627,POINT (-73.66468744842756 42.76261405115627),16442,TROY FIVE STAR FOOD MARKETS INC,1065.9210321296864
051702,36083051702,-73.34996043366883,42.90092198542134,POINT (-73.34996043366884 42.900921985421334),1947,WALGREEN EASTERN CO INC,48.72461263239808
051800,36083051800,-73.50513636679116,42.8646561367879,POINT (-73.50513636679116 42.86465613678789),841,PITTSTOWN GROCERY INC,3557.688546150012
035000,36047035000,-73.97894879735892,40.577562314725945,POINT (-73.97894879735892 40.577562314725945),6193,LUNA PARK FOOD CORP,180.57583954745166
035200,36047035200,-73.97961888681004,40.57142947722615,POINT (-73.97961888681004 40.57142947722613),22600,PEPPER PALACE INC,417.4637491665147
035400,36047035400,-73.97261476620301,40.58013296182368,POINT (-73.97261476620301 40.58013296182367),4044,NEPTUNE FOOD CORP,25.036689826267853
035500,36047035500,-73.93347217680524,40.66440499110734,POINT (-73.93347217680524 40.66440499110733),22764,401 EMPIRE GROCERY INC,76.95048511838323
035900,36047035900,-73.92386433766974,40.67043301525119,POINT (-73.92386433766974 40.6704330152512),23655,DELI BASKET CORP,113.80813908159702
073400,36047073400,-73.93747781975918,40.62781533441262,POINT (-73.93747781975918 40.62781533441261),19478,DORA GROCERY CORP,108.19426754266209
075600,36047075600,-73.9479894221257,40.61685623023446,POINT (-73.9479894221257 40.61685623023446),11845,BOLLA OPERATING CORP,276.4074887564523
073600,36047073600,-73.93579892583921,40.62403564661316,POINT (-73.93579892583921 40.624035646613166),4979,FLATBUSH FLAMING GRILL INC,199.4035485972461
074000,36047074000,-73.94125673805782,40.62739419485581,POINT (-73.94125673805782 40.62739419485581),11200,YORK FUEL INC,64.28481336555839
074400,36047074400,-73.94311730697247,40.62232924473509,POINT (-73.94311730697247 40.62232924473509),7538,SCHWARTZ OF L INC,217.10349337371053
074600,36047074600,-73.94263498307956,40.618609444828685,POINT (-73.94263498307956 40.618609444828685),16450,SUPER MARKET OF AVE N INC,203.81375098179436
074800,36047074800,-73.94689572098854,40.621893066083615,POINT (-73.94689572098854 40.621893066083615),7538,SCHWARTZ OF L INC,107.50532801340783
075800,36047075800,-73.95196194213531,40.616475074528466,POINT (-73.95196194213531 40.616475074528466),9803,OCEAN FINEST GRILL BASKET INC,312.23411642176325
076000,36047076000,-73.95478848879682,40.62135692237782,POINT (-73.95478848879682 40.62135692237783),5099,CHOES BLUE FRUIT & VEGETABLE INC,322.4281249204238
076200,36047076200,-73.95648587315505,40.625718526907754,POINT (-73.95648587315505 40.62571852690775),12665,1523 AVENUE J FOODS INC,352.2822418125446
076600,36047076600,-73.95684201906637,40.63318712232562,POINT (-73.95684201906637 40.63318712232563),22261,NPA PHARMACEUTICALS LLC,406.61651470230925
077000,36047077000,-73.9538294725958,40.6361361281003,POINT (-73.9538294725958 40.6361361281003),7553,MIRNAS PUPUSERIA DELI CORP,160.56610435969128
095800,36047095800,-73.91168594198102,40.64082208497665,POINT (-73.91168594198102 40.64082208497665),5471,BOLLA OPERATING CORP,349.71406773070424
096000,36047096000,-73.91476653735515,40.64592696247529,POINT (-73.91476653735515 40.64592696247529),5479,BJS WHOLESALE CLUB INC,118.00243941430732
096200,36047096200,-73.91051735268745,40.64502673996099,POINT (-73.91051735268745 40.64502673996098),2311,SEVEN DAYS DELI AND GROCERY INC,99.57247450689061
096400,36047096400,-73.90726865799095,40.641950067384684,POINT (-73.90726865799095 40.641950067384684),1966,BIG BOYZ DELI CORP,239.33148076637508
096800,36047096800,-73.90387690549935,40.644141804541434,POINT (-73.90387690549935 40.64414180454144),2818,LUNA SOPHIE GROCERY CORP,79.25076973917953
097000,36047097000,-73.90735299901249,40.64726004166666,POINT (-73.90735299901249 40.647260041666655),16070,A & S SUPERETTE I CORP,29.420000384842112
097400,36047097400,-73.89976579381701,40.646984102577335,POINT (-73.89976579381702 40.64698410257733),6846,F & N BRUKELEN DELI CORP,261.61785786355733
098400,36047098400,-73.8917895550493,40.64657790851327,POINT (-73.8917895550493 40.646577908513265),17574,JRI FLATLAND FOOD CORP,137.27585899332925
098600,36047098600,-73.8943195657175,40.64493646041037,POINT (-73.8943195657175 40.644936460410364),13210,CVS ALBANY LLC,229.01584264749013
099000,36047099000,-73.89856196773374,40.63937033985317,POINT (-73.89856196773374 40.63937033985318),12321,BROOKLYN TO GO DELI INC,158.25909399769543
099400,36047099400,-73.90439925829567,40.635759723308034,POINT (-73.90439925829567 40.63575972330804),15056,AVE L SUPERETTE INC,263.5527403317539
099800,36047099800,-73.90840759086356,40.629577348038694,POINT (-73.90840759086356 40.629577348038694),15391,CANARSIE ONE STOP MARKET CORP,694.8968015459458
100400,36047100400,-73.90379998112246,40.63064927688635,POINT (-73.90379998112246 40.63064927688636),15391,CANARSIE ONE STOP MARKET CORP,377.65210112260064
100800,36047100800,-73.89806643326298,40.63413314619856,POINT (-73.89806643326298 40.634133146198536),5689,B-QUICK CORP I,144.5715063739506
101000,36047101000,-73.89497202333212,40.63602816352459,POINT (-73.89497202333212 40.63602816352459),5689,B-QUICK CORP I,192.3825415878338
101200,36047101200,-73.89366767652886,40.63972651617696,POINT (-73.89366767652886 40.63972651617696),1492,PRINCE CONVENIENCE GROCERY CORP,56.987967014909465
101400,36047101400,-73.89067344976063,40.6416625727865,POINT (-73.89067344976063 40.6416625727865),1492,PRINCE CONVENIENCE GROCERY CORP,387.54314492492944
101600,36047101600,-73.88814085755664,40.64330298514136,POINT (-73.88814085755664 40.64330298514136),13484,J SUSHI TIME,532.1520397310355
027706,36085027706,-74.16190163144182,40.590936939214586,POINT (-74.16190163144182 40.59093693921457),11714,RITE AID OF NEW YORK INC,170.78163939774603
018100,36085018100,-74.12077600957943,40.58909673254881,POINT (-74.12077600957943 40.5890967325488),7283,CHEFSTABLE INC THE,1008.2383155618977
026200,36047026200,-73.9970785972511,40.618728471557915,POINT (-73.9970785972511 40.61872847155791),21723,71 DELI & GRILL INC,183.32973909922194
026300,36047026300,-73.94513142726854,40.68946841834703,POINT (-73.94513142726854 40.68946841834703),3112,GREEN PARK GOURMET DELI INC,62.85854265907849
026400,36047026400,-73.99748155553002,40.61486782966214,POINT (-73.99748155553002 40.614867829662145),5539,NEW AB FOOD CORP,74.17430842892522
026600,36047026600,-73.99032544505262,40.612630335212266,POINT (-73.99032544505262 40.61263033521227),18115,TOTOPAN PANADERIA Y PASTELERIA GUATEMALT,60.186561045811175
026700,36047026700,-73.94403818298939,40.68397314599812,POINT (-73.94403818298939 40.68397314599812),23694,KINGS NATURAL MARKET CORP,18.688607407931475
027000,36047027000,-73.98998504127869,40.605861129451355,POINT (-73.98998504127869 40.605861129451355),13445,1626 MINI MART CORP,215.0896389127522
027200,36047027200,-73.99273840477723,40.60817651946316,POINT (-73.99273840477723 40.608176519463164),15865,BEST DELI EMANUEL GROCERY CORP THE,134.27426174794104
027400,36047027400,-73.99529200087025,40.61094943859112,POINT (-73.99529200087025 40.61094943859112),19441,TRIBUZIO MEAT MARKET INC,227.46315918854447
027500,36047027500,-73.93817886577047,40.68389754076193,POINT (-73.93817886577047 40.68389754076193),8136,HEAVENLY CRUMBS INC,59.09167244962945
027600,36047027600,-73.99948897300598,40.610896445805416,POINT (-73.999488973006 40.61089644580542),18925,CG&C 2 PRIME MEAT MARKET LLC,61.32071694276832
027700,36047027700,-73.93876040298218,40.68682894309866,POINT (-73.93876040298218 40.686828943098675),19990,PIGGY MEAT CORP,20.68311530911586
027800,36047027800,-74.00122108585862,40.606858521572754,POINT (-74.00122108585862 40.606858521572754),6788,MONG KOK SUPERMARKET INC,73.9672784114895
028100,36047028100,-73.93992862386955,40.69268876773984,POINT (-73.93992862386956 40.692688767739845),22325,LIAM DELI GROCERY NY CORP,31.46092156739612
028400,36047028400,-73.9989428381371,40.605674210010044,POINT (-73.9989428381371 40.605674210010044),24192,CANDY GROCERY LOTTO CORP,105.85054331153724
028502,36047028502,-73.94088499119157,40.69745076762317,POINT (-73.94088499119157 40.69745076762317),761,FOOD AND DELI BY NEIL INC,140.62208339391
028600,36047028600,-74.00277070703463,40.59870967315867,POINT (-74.00277070703464 40.59870967315868),5777,RW STAR DELI INC,113.36776674421067
028700,36047028700,-73.93542746321971,40.695635329790136,POINT (-73.93542746321971 40.69563532979013),23752,BIK MARKET INC,118.78208102267166
028800,36047028800,-73.99656227409307,40.60451134684659,POINT (-73.99656227409307 40.60451134684657),3915,GOLDEN TREASURY NY INC,87.4752692403617
029000,36047029000,-73.99434781927316,40.60317413892383,POINT (-73.99434781927316 40.603174138923826),14612,CVS ALBANY LLC,63.1722136362077
029100,36047029100,-73.93354102070325,40.690427215875566,POINT (-73.93354102070325 40.690427215875566),4210,GOOD TIMES DELI & GROCERY CORP,18.523564862265342
029200,36047029200,-74.00116128755346,40.59677553690896,POINT (-74.00116128755347 40.596775536908964),5777,RW STAR DELI INC,338.704068654355
029300,36047029300,-73.93295815543235,40.687496775289205,POINT (-73.93295815543235 40.687496775289205),10347,ELEGANZA FOUR ORGANIC CORP,17.112903876384078
029700,36047029700,-73.93161762407566,40.681272724672006,POINT (-73.93161762407566 40.681272724672006),2192,357 STUYVESANT GROCERY INC,87.67580694491168
029800,36047029800,-73.98790745526753,40.60082329965067,POINT (-73.98790745526753 40.600823299650656),5372,TASTY DELI SUPERMARKET INC,194.07323723384937
029900,36047029900,-73.92579786689781,40.678144786303605,POINT (-73.92579786689781 40.678144786303605),6909,TABOU TREATS LLC,77.7262216073461
030000,36047030000,-73.9887443929808,40.59740307188059,POINT (-73.9887443929808 40.59740307188059),11248,PS QUALITY FOODS INC,98.17207672272703
037000,36047037000,-73.9631650347681,40.58784914041435,POINT (-73.9631650347681 40.58784914041435),4566,2800 CIA RETAIL CORP,201.03493196886222
037100,36047037100,-73.91383953502766,40.68028731184494,POINT (-73.91383953502766 40.680287311844936),6521,HEALTHY FRIENDS DELI & JUICE BAR CORP,73.27341728597858
037300,36047037300,-73.91521535079268,40.68394875870586,POINT (-73.91521535079268 40.68394875870586),7451,ANGEL DELI FOOD CORP,45.689443887829974
036001,36047036001,-73.96555911869028,40.57578954881939,POINT (-73.9655591186903 40.57578954881939),1630,CENTRAL PHARMACY OF BROOKLYN NY,91.37573133280267
037500,36047037500,-73.92151674376179,40.68761991730475,POINT (-73.92151674376179 40.68761991730475),21936,HOWARD NATURAL FOOD CORP,98.52888949969845
037700,36047037700,-73.92018750144699,40.68408820263725,POINT (-73.92018750144699 40.68408820263724),172,RAFAEL DELI GROCERY CORP,219.78459168029676
037900,36047037900,-73.91936568601483,40.68049888959056,POINT (-73.91936568601483 40.68049888959056),10946,JL MINI MARKET CORP,65.98608793984792
036200,36047036200,-73.9640009180561,40.57811700822462,POINT (-73.9640009180561 40.57811700822463),1280,MNL DEVELOPMENT LLC,73.48498483322716
036400,36047036400,-73.96386379165232,40.580161409245626,POINT (-73.96386379165232 40.58016140924562),22693,R&M GROCERY CORP,121.68320266817241
036501,36047036501,-73.91151364711129,40.67503116284453,POINT (-73.91151364711129 40.67503116284453),16227,OCH DELI CORP,65.85823788547873
036502,36047036502,-73.90754315666526,40.674725917949154,POINT (-73.90754315666526 40.674725917949154),18694,PABLO SOTO,76.1151087295305
036600,36047036600,-73.96376755014842,40.582870627067834,POINT (-73.96376755014842 40.58287062706784),22693,R&M GROCERY CORP,179.2953337713801
