name,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,centroid
"Census Tract 96, Bronx County, New York",49638.0,558.0,552.0,504.0,1398.0,009600,3012.0,18.52589641434263,18.326693227091635,16.733067729083665,46.41434262948207,POINT (1836391.2251153777 2195503.1468829173)
"Census Tract 96, Bronx County, New York",49638.0,558.0,552.0,504.0,1398.0,009600,3012.0,18.52589641434263,18.326693227091635,16.733067729083665,46.41434262948207,POINT (1828037.2557083215 2171835.6239528623)
"Census Tract 98, Bronx County, New York",73622.0,1977.0,919.0,246.0,3149.0,009800,6291.0,31.425846447305673,14.608170402161818,3.9103481163567,50.05563503417581,POINT (1396267.4960805636 2339289.1463407665)
"Census Tract 98, Bronx County, New York",73622.0,1977.0,919.0,246.0,3149.0,009800,6291.0,31.425846447305673,14.608170402161818,3.9103481163567,50.05563503417581,POINT (1836149.3743498174 2194405.0084773507)
"Census Tract 98, Bronx County, New York",73622.0,1977.0,919.0,246.0,3149.0,009800,6291.0,31.425846447305673,14.608170402161818,3.9103481163567,50.05563503417581,POINT (1839292.6345386822 2212843.233809635)
"Census Tract 98, Bronx County, New York",73622.0,1977.0,919.0,246.0,3149.0,009800,6291.0,31.425846447305673,14.608170402161818,3.9103481163567,50.05563503417581,POINT (1841264.293989261 2179498.522928728)
"Census Tract 98, Bronx County, New York",73622.0,1977.0,919.0,246.0,3149.0,009800,6291.0,31.425846447305673,14.608170402161818,3.9103481163567,50.05563503417581,POINT (1828314.8447452097 2184532.9666728307)
"Census Tract 98, Bronx County, New York",73622.0,1977.0,919.0,246.0,3149.0,009800,6291.0,31.425846447305673,14.608170402161818,3.9103481163567,50.05563503417581,POINT (1827904.5349495795 2171546.7151525323)
"Census Tract 115.02, Bronx County, New York",23791.0,380.0,1661.0,22.0,2768.0,011502,4831.0,7.865866280273235,34.382115504036435,0.4553922583316084,57.29662595735873,POINT (1833325.0780440131 2193071.9274516725)
"Census Tract 115.02, Bronx County, New York",23791.0,380.0,1661.0,22.0,2768.0,011502,4831.0,7.865866280273235,34.382115504036435,0.4553922583316084,57.29662595735873,POINT (1673754.2674720008 2489218.035373286)
"Census Tract 115.02, Bronx County, New York",23791.0,380.0,1661.0,22.0,2768.0,011502,4831.0,7.865866280273235,34.382115504036435,0.4553922583316084,57.29662595735873,POINT (1833019.0644199494 2261621.4706205768)
"Census Tract 117.01, Bronx County, New York",37781.0,10.0,541.0,0.0,1149.0,011701,1700.0,0.5882352941176471,31.823529411764707,0.0,67.58823529411765,POINT (1833660.1921513758 2192541.6047555837)
"Census Tract 117.01, Bronx County, New York",37781.0,10.0,541.0,0.0,1149.0,011701,1700.0,0.5882352941176471,31.823529411764707,0.0,67.58823529411765,POINT (1761741.1726561296 2240115.790519255)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1395669.4486631148 2331672.1906778533)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1840762.070457349 2193641.342225604)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1583070.7216305493 2401764.9425133048)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1840909.1130393737 2180018.6809580987)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1493109.8830435942 2379936.967755201)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1830276.6702542824 2227378.57874723)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1802339.637468114 2221056.969225985)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1828634.4961729778 2185700.1320013613)
"Census Tract 118, Bronx County, New York",101875.0,4461.0,433.0,86.0,2221.0,011800,7201.0,61.94972920427718,6.013053742535758,1.1942785724204972,30.842938480766563,POINT (1827851.805564194 2170536.3962085256)
"Census Tract 119, Bronx County, New York",32007.0,635.0,1885.0,0.0,4108.0,011900,6628.0,9.580567290283645,28.43995171997586,0.0,61.9794809897405,POINT (1832944.4675625407 2193394.3531187777)
"Census Tract 119, Bronx County, New York",32007.0,635.0,1885.0,0.0,4108.0,011900,6628.0,9.580567290283645,28.43995171997586,0.0,61.9794809897405,POINT (1578060.8576870782 2399499.322845005)
"Census Tract 119, Bronx County, New York",32007.0,635.0,1885.0,0.0,4108.0,011900,6628.0,9.580567290283645,28.43995171997586,0.0,61.9794809897405,POINT (1843532.7792563343 2264046.2161251255)
"Census Tract 119, Bronx County, New York",32007.0,635.0,1885.0,0.0,4108.0,011900,6628.0,9.580567290283645,28.43995171997586,0.0,61.9794809897405,POINT (1780475.0595774138 2245087.4981154087)
"Census Tract 119, Bronx County, New York",32007.0,635.0,1885.0,0.0,4108.0,011900,6628.0,9.580567290283645,28.43995171997586,0.0,61.9794809897405,POINT (1826788.3120931545 2184348.461917076)
"Census Tract 119, Bronx County, New York",32007.0,635.0,1885.0,0.0,4108.0,011900,6628.0,9.580567290283645,28.43995171997586,0.0,61.9794809897405,POINT (1832945.5162995798 2187402.042616157)
"Census Tract 121.01, Bronx County, New York",48152.0,260.0,1132.0,12.0,2131.0,012101,3535.0,7.355021216407355,32.02263083451202,0.33946251768033947,60.28288543140028,POINT (1832870.4866273855 2193952.50647596)
"Census Tract 121.01, Bronx County, New York",48152.0,260.0,1132.0,12.0,2131.0,012101,3535.0,7.355021216407355,32.02263083451202,0.33946251768033947,60.28288543140028,POINT (1826395.4008502678 2184462.390122696)
"Census Tract 121.01, Bronx County, New York",48152.0,260.0,1132.0,12.0,2131.0,012101,3535.0,7.355021216407355,32.02263083451202,0.33946251768033947,60.28288543140028,POINT (1835853.070370906 2227827.6504899478)
"Census Tract 121.01, Bronx County, New York",48152.0,260.0,1132.0,12.0,2131.0,012101,3535.0,7.355021216407355,32.02263083451202,0.33946251768033947,60.28288543140028,POINT (1638327.7731562194 2308368.310172742)
"Census Tract 121.02, Bronx County, New York",27281.0,131.0,504.0,0.0,1092.0,012102,1727.0,7.585408222350898,29.18355529820498,0.0,63.23103647944413,POINT (1833004.4185898216 2193722.721221505)
"Census Tract 121.02, Bronx County, New York",27281.0,131.0,504.0,0.0,1092.0,012102,1727.0,7.585408222350898,29.18355529820498,0.0,63.23103647944413,POINT (1640734.0281125566 2305072.7242157785)
"Census Tract 121.02, Bronx County, New York",27281.0,131.0,504.0,0.0,1092.0,012102,1727.0,7.585408222350898,29.18355529820498,0.0,63.23103647944413,POINT (1834502.896931914 2227907.638979818)
"Census Tract 121.02, Bronx County, New York",27281.0,131.0,504.0,0.0,1092.0,012102,1727.0,7.585408222350898,29.18355529820498,0.0,63.23103647944413,POINT (1826133.1682743037 2184538.260061992)
"Census Tract 123, Bronx County, New York",39258.0,371.0,2373.0,25.0,2536.0,012300,5305.0,6.99340245051838,44.73138548539114,0.47125353440150797,47.80395852968897,POINT (1787357.4204641865 2254533.128008729)
"Census Tract 123, Bronx County, New York",39258.0,371.0,2373.0,25.0,2536.0,012300,5305.0,6.99340245051838,44.73138548539114,0.47125353440150797,47.80395852968897,POINT (1832988.5438092977 2194011.5175525844)
"Census Tract 123, Bronx County, New York",39258.0,371.0,2373.0,25.0,2536.0,012300,5305.0,6.99340245051838,44.73138548539114,0.47125353440150797,47.80395852968897,POINT (1388245.4224733615 2328453.9749542885)
"Census Tract 123, Bronx County, New York",39258.0,371.0,2373.0,25.0,2536.0,012300,5305.0,6.99340245051838,44.73138548539114,0.47125353440150797,47.80395852968897,POINT (1584930.646619115 2390368.468682464)
