County,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,county_tract,tract_y,nearest_store,distance_to_nearest_store,nearest_store_name
BRONX,61940.0,685.0,3690.0,1036.0,3464.0,21002,8875.0,7.71830985915493,41.57746478873239,11.67323943661972,39.03098591549296,BRONX_21002,21002,11348,182.2555703933314,ZIL ZAL INC
BRONX,35855.0,718.0,2252.0,42.0,4183.0,21100,7195.0,9.979152189020152,31.299513551077133,0.5837387074357192,58.13759555246699,BRONX_21100,21100,2072,108.93233835231425,PILILA DELI GROCERY CORP
BRONX,61146.0,641.0,2056.0,1445.0,1717.0,21200,5859.0,10.940433521078685,35.09131251066735,24.662911759685954,29.30534220856801,BRONX_21200,21200,19765,102.61529813765718,EAST AVE EXPRESS CORP
BRONX,34773.0,122.0,490.0,0.0,959.0,21301,1571.0,7.765754296626352,31.19032463399109,0.0,61.04392106938256,BRONX_21301,21301,17666,66.43170855730393,ABC FIVE WINGS INC
BRONX,19660.0,362.0,2656.0,20.0,3423.0,21302,6461.0,5.602847856368983,41.108187587060826,0.3095496053242532,52.97941495124594,BRONX_21302,21302,23961,192.80717928203265,LA PRESUMIDA GROCERY CORP
BRONX,36607.0,709.0,1220.0,7.0,3337.0,21501,5273.0,13.445856248814716,23.1367343068462,0.1327517542196093,63.284657690119474,BRONX_21501,21501,5113,48.937423260006575,JVY DELI GROCERY CORP
BRONX,26176.0,507.0,2177.0,0.0,5129.0,21502,7813.0,6.4891846921797,27.863816715730195,0.0,65.64699859209011,BRONX_21502,21502,22895,45.165760568392535,HAMIR FOOD&DISCOUNT INC
BRONX,39283.0,772.0,1277.0,388.0,3158.0,21601,5595.0,13.798033958891867,22.823949955317246,6.934763181411976,56.4432529043789,BRONX_21601,21601,445,34.99559566273065,ALAND GOURMET DELI 2 INC
BRONX,54410.0,632.0,1830.0,1989.0,1997.0,21602,6448.0,9.801488833746898,28.38089330024814,30.846774193548388,30.970843672456574,BRONX_21602,21602,1353,66.73063663268225,DELI R US FOOD MARKET INC
BRONX,40794.0,452.0,2239.0,153.0,2518.0,21700,5362.0,8.429690414024618,41.7568071615069,2.8534129056322266,46.960089518836256,BRONX_21700,21700,17194,44.09104513385197,DONA JUANA GROCERY STORE INC
BRONX,50849.0,882.0,1234.0,205.0,4607.0,21800,6928.0,12.73094688221709,17.81177829099307,2.9590069284064664,66.49826789838336,BRONX_21800,21800,14982,169.73849413662123,A S K DELI GROCERY
BRONX,40587.0,79.0,174.0,25.0,790.0,21900,1068.0,7.397003745318352,16.292134831460675,2.3408239700374533,73.97003745318352,BRONX_21900,21900,6197,99.1246560265599,ANTILLANA & METRO SUPERMARKET CORP
BRONX,29625.0,253.0,554.0,40.0,1423.0,22000,2270.0,11.145374449339208,24.40528634361233,1.762114537444934,62.68722466960352,BRONX_22000,22000,6734,139.23096441502793,M TEJADA CORP
BRONX,37200.0,430.0,700.0,213.0,2971.0,22101,4314.0,9.967547519703292,16.226240148354197,4.937413073713491,68.86879925822902,BRONX_22101,22101,16138,54.91087614753334,LA MEXICANA FRUIT AND GROCERY CORP
BRONX,40500.0,882.0,741.0,22.0,5239.0,22102,6884.0,12.812318419523534,10.764090644973852,0.3195816385822196,76.1040092969204,BRONX_22102,22102,8061,47.68463006223913,SAYLON DELI CORP
BRONX,46806.0,281.0,247.0,1148.0,1493.0,22200,3169.0,8.86715052066898,7.794256863363837,36.22593878195014,47.11265383401704,BRONX_22200,22200,21092,36.91824589512444,FRIENDS HALAL MEAT SUPERMRKT INC
BRONX,30694.0,1284.0,948.0,10.0,4545.0,22300,6787.0,18.9185207013408,13.967879770148814,0.1473405039045233,66.96625902460586,BRONX_22300,22300,19181,104.74960117486243,TOP TOP DELI CORP
BRONX,50262.0,558.0,420.0,122.0,1630.0,22401,2730.0,20.43956043956044,15.384615384615383,4.468864468864469,59.70695970695971,BRONX_22401,22401,23886,94.84050163752626,GOOD N NATURAL INC
